% Model:              accelerometer_3D.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jan 10 2025, 13:00
% Table:              Table 8 - capacitance x load
% a_x                    x load capacitance (F)
0                        1.5653953643116492E-16
20                       1.5653953643116628E-16
40                       1.5653953641055118E-16
60                       1.565395363899372E-16
80                       1.5653953636932466E-16
100                      1.5653953634871557E-16
120                      1.5653953632810838E-16
140                      1.5653953630750378E-16
160                      1.565395362869004E-16
180                      1.5653953626630118E-16
200                      1.5653953624570217E-16
