% Model:              accelerometer_3D.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jan 10 2025, 13:00
% Table:              Table 4 - capacitance y load
% a_y                    y load capacitance (F)
0                        1.5653953632810892E-16
20                       1.5653953632810907E-16
40                       1.565395364125613E-16
60                       1.5653953649703286E-16
80                       1.5653953658152314E-16
100                      1.565395366660314E-16
120                      1.5653953675055986E-16
140                      1.5653953683510648E-16
160                      1.565395369196712E-16
180                      1.5653953700425743E-16
200                      1.5653953708886082E-16
