% Model:              accelerometer_3D.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jan 10 2025, 13:00
% Table:              Table 5 - max displacement x load
% a_x                    max disp y load (nm)
0                        4.4770123429414883E-10
20                       6.485783982582077E-6
40                       1.2971507305254779E-5
60                       1.945765811225232E-5
80                       2.5943809180735623E-5
100                      3.242995967302682E-5
120                      3.891611013101044E-5
140                      4.5402260968322964E-5
160                      5.188841190792508E-5
180                      5.837456286397388E-5
200                      6.486071374017506E-5
