% Model:              accelerometer_3D.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jan 10 2025, 12:59
% Table:              Table 1 - max displacement y load
% a_y                    max disp y load (nm)
0                        1.220392004343297E-7
20                       9.291986742900569E-6
40                       1.8468579880041825E-5
60                       2.766643385604079E-5
80                       3.686428799363545E-5
100                      4.6062142643491095E-5
120                      5.5260194610652805E-5
140                      6.445871919918809E-5
160                      7.365724408689865E-5
180                      8.285576869019138E-5
200                      9.205429337037226E-5
