% Model:              accelerometer_3D.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jan 10 2025, 13:00
% Table:              Table 7 - max stress x load
% a_x                    max stress x load (N/m^2)
0                        0.3514245113385996
20                       243.75368609020848
40                       487.4719177966098
60                       731.1902413590561
80                       974.9085817542433
100                      1218.6268913922686
120                      1462.3451902614067
140                      1706.0635032775515
160                      1949.7818229170837
180                      2193.500140497613
200                      2437.2184582474465
