% Model:              accelerometer_3D.mph
% Version:            COMSOL 6.0.0.318
% Date:               Jan 10 2025, 12:59
% Table:              Table 3 - max stress y load
% a_y                    max stress y load (N/m^2)
0                        1218.6268728071361
20                       1218.8726159862063
40                       1219.1263551439283
60                       1219.3880853915948
80                       1219.6577973225706
100                      1219.9355121218541
120                      1220.2211931060856
140                      1220.5148408296948
160                      1220.8164692664188
180                      1221.126041013461
200                      1221.4435771205062
